name,display_name,description,variable_type,database,unit,deleted,version
age,Age,,numerical,pt_research_database,,,
sex,Sex,,categorical,pt_research_database,,,
handed,Handed,,categorical,pt_research_database,,,
subjectType,Subject Type,,categorical,pt_research_database,,,
imagingData,Imaging Data,,categorical,pt_research_database,,,
gridSide,Grid Side,,categorical,pt_research_database,,,
CSM,CSM,,categorical,pt_research_database,,,
CCEP,CCEP,,categorical,pt_research_database,,,
seizureOnsetZones,Seizure Onset Zones,,categorical,pt_research_database,,,
resectedAreas,Resected Areas,,categorical,pt_research_database,,,